,id,member_id,loan_amount,funded_amount_inv,term,int_rate,instalment,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_accounts,total_accounts,out_prncp,out_prncp_inv,total_payment,total_payment_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_payment_amount,collections_12_mths_ex_med,policy_code
id,1.0,0.9941953654446377,0.13253124876370542,0.16903706328966275,0.0215762673085985,0.05099164170657662,0.1421042556071992,0.059051195780299943,0.19070165264616276,0.06145720987756923,-0.07228880931917953,0.1440180745721864,0.09581771490951611,0.4850239135228509,0.4850604926649919,-0.2001837927428275,-0.16217883606173394,-0.22396835652948496,-0.04210336181286231,-0.04868362816766403,-0.03157117929418931,-0.02095148851765949,-0.02572271572873704,0.07520257434968228,
member_id,0.9941953654446377,1.0,0.13889634072389237,0.1773152730803601,0.022662496905863205,0.05545511424375425,0.14922930110418745,0.060773553800675055,0.19321307667865723,0.06172484025631038,-0.07545000305884679,0.14504123882899655,0.09602580361088452,0.48902715354509463,0.48906361487985994,-0.19285192025413672,-0.15335486098925152,-0.21809120480729,-0.03429498337497872,-0.05054832437762931,-0.03172394780000394,-0.02168568097825213,-0.021862288708005963,0.07422685514406518,
loan_amount,0.13253124876370542,0.13889634072389237,1.0,0.9647494549023503,0.3571482660526565,0.15971737064080424,0.9611360911088712,0.45442966527701584,0.10878330769931925,0.003546030511064722,-0.04095576047055416,0.22328817075087878,0.25144776513868705,0.43769067595463756,0.4376390071253181,0.8117861978941395,0.7949775694416832,0.6777483740137172,0.7560327318757959,0.0280357824512254,0.10870632711502347,0.06448816287130624,0.3314435579810806,0.0005332186374049581,
funded_amount_inv,0.16903706328966275,0.1773152730803601,0.9647494549023503,1.0,0.3592432844267563,0.1719816611887537,0.9342964032065754,0.4403493062813524,0.12545977626709848,0.005504291428087208,-0.056695611233949,0.22350315379930608,0.25156091867583835,0.46114375901063853,0.46112004912691534,0.7807185928713954,0.8237141958793555,0.6463024285217601,0.7382828579461517,0.011215989946526572,0.10308643277098514,0.05796794824863511,0.32942107584789365,0.003384174513745085,
term,0.0215762673085985,0.022662496905863205,0.3571482660526565,0.3592432844267563,1.0,0.41905134675643846,0.1276529865811179,0.09491948195262617,0.0832646851808773,0.0019146633299486017,0.00032807135521386276,0.05420650496610635,0.0878696963873553,0.349301799771628,0.3492354564462608,0.20424505481162616,0.21866217715224368,0.022895457146624502,0.5024690707024579,0.0040572706979141535,0.0907843466173111,0.041057434174378786,0.13626401489736126,0.00020753391221913859,
int_rate,0.05099164170657662,0.05545511424375425,0.15971737064080424,0.1719816611887537,0.41905134675643846,1.0,0.15884567427000776,-0.017687286495811513,0.18248152742346854,0.1090276555096277,0.18883077803709733,0.01778158612951459,-0.03939222832624816,0.17883646065401163,0.17894621304102729,0.10488703491504422,0.11675733755846127,-0.07063413216396786,0.4691692318650976,0.048191049847295345,0.11489847672602638,0.06446955616344134,0.09156279928930149,0.029543439687447652,
instalment,0.1421042556071992,0.14922930110418745,0.9611360911088712,0.9342964032065754,0.1276529865811179,0.15884567427000776,1.0,0.44533232297210795,0.11252352349858688,0.017095342429439067,-0.022070231142925403,0.22247570125500277,0.23330767096222152,0.37636613407570596,0.3763537604495846,0.8108949638045193,0.7914650186562467,0.7028459074303893,0.7040184456240022,0.03351147541676663,0.10037873817638679,0.06341176065986662,0.319304083575034,0.004347042297887562,
annual_inc,0.059051195780299943,0.060773553800675055,0.45442966527701584,0.4403493062813524,0.09491948195262617,-0.017687286495811513,0.44533232297210795,1.0,-0.14442342116680584,0.0690209798136636,0.0516795209344355,0.2581767759075563,0.36148084247691026,0.18703707171053655,0.18699285771041765,0.39799974151030365,0.39039431250345225,0.36386427728668636,0.2854677252889127,0.01575571924088767,0.030156268295372622,0.021675303280212752,0.19546785668135125,0.009822924219516287,
dti,0.19070165264616276,0.19321307667865723,0.10878330769931925,0.12545977626709848,0.0832646851808773,0.18248152742346854,0.11252352349858688,-0.14442342116680584,1.0,0.007069471538223418,-0.0072532312382383515,0.3578175741753624,0.2696733492679991,0.17159473969058192,0.1715958384871642,0.012035603233179756,0.028977240642646018,-0.03846241448183672,0.14309273709617407,-0.020904556251081462,0.01793887251633609,0.00405441668313244,-0.009443871315691679,0.009896213639577508,
delinq_2yrs,0.06145720987756923,0.06172484025631038,0.003546030511064722,0.005504291428087208,0.0019146633299486017,0.1090276555096277,0.017095342429439067,0.0690209798136636,0.007069471538223418,1.0,0.013425159596522176,0.06006740149015881,0.11999115224403392,0.046154891039436347,0.046147153522059406,-0.013659297810544072,-0.013588523138325105,-0.030290424721871666,0.03749677154636557,0.023303868314205514,0.008714514420802172,0.007569386737968624,-0.0073584327254646855,0.025601497971601998,
inq_last_6mths,-0.07228880931917953,-0.07545000305884679,-0.04095576047055416,-0.056695611233949,0.00032807135521386276,0.18883077803709733,-0.022070231142925403,0.0516795209344355,-0.0072532312382383515,0.013425159596522176,1.0,0.09074771723813577,0.11212706604124835,-0.08481472606208097,-0.08471527028630632,-0.011183121557113193,-0.02519462047923925,-0.023035333612183018,0.010113162251835964,0.03641800371349612,0.03353575118516816,0.025212420925189886,0.03464907215035461,-0.005514272142483986,
open_accounts,0.1440180745721864,0.14504123882899655,0.22328817075087878,0.22350315379930608,0.05420650496610635,0.01778158612951459,0.22247570125500277,0.2581767759075563,0.3578175741753624,0.06006740149015881,0.09074771723813577,1.0,0.687501057001399,0.15242387468517196,0.15240779372640884,0.14620207830514043,0.149001641794549,0.11988547864427589,0.14464734917843286,-0.028758750049489967,0.008569835651309149,0.004589487489511699,0.07288078126795261,0.020430738636065326,
total_accounts,0.09581771490951611,0.09602580361088452,0.25144776513868705,0.25156091867583835,0.0878696963873553,-0.03939222832624816,0.23330767096222152,0.36148084247691026,0.2696733492679991,0.11999115224403392,0.11212706604124835,0.687501057001399,1.0,0.11771534906582803,0.11768053790483306,0.1893721743964134,0.194441805795879,0.17149257491550407,0.1275165665320254,-0.024448035836668144,0.01853093669189659,0.013234611609476648,0.12959414979539022,0.01761876771173671,
out_prncp,0.4850239135228509,0.48902715354509463,0.43769067595463756,0.46114375901063853,0.349301799771628,0.17883646065401163,0.37636613407570596,0.18703707171053655,0.17159473969058192,0.046154891039436347,-0.08481472606208097,0.15242387468517196,0.11771534906582803,1.0,0.9999969769572753,0.078620764643644,0.09543845115593509,-0.07822601991509238,0.45639511811366507,-0.020350186374629115,-0.07913135016753782,-0.04757142935059187,-0.26363229627461393,0.02918156204003573,
out_prncp_inv,0.4850604926649919,0.48906361487985994,0.4376390071253181,0.46112004912691534,0.3492354564462608,0.17894621304102729,0.3763537604495846,0.18699285771041765,0.1715958384871642,0.046147153522059406,-0.08471527028630632,0.15240779372640884,0.11768053790483306,0.9999969769572753,1.0,0.07856699044883247,0.09540598175846414,-0.07828689763163546,0.45635024327494167,-0.020360794271569747,-0.07912081205481167,-0.047565094148626676,-0.2635949122242324,0.02918174452113313,
total_payment,-0.2001837927428275,-0.19285192025413672,0.8117861978941395,0.7807185928713954,0.20424505481162616,0.10488703491504422,0.8108949638045193,0.39799974151030365,0.012035603233179756,-0.013659297810544072,-0.011183121557113193,0.14620207830514043,0.1893721743964134,0.078620764643644,0.07856699044883247,1.0,0.9695668373751942,0.9549922103307003,0.6997139137641328,0.010093101624889397,-0.010103439785786582,0.01816549947399034,0.5118870162497215,-0.023415583048220775,
total_payment_inv,-0.16217883606173394,-0.15335486098925152,0.7949775694416832,0.8237141958793555,0.21866217715224368,0.11675733755846127,0.7914650186562467,0.39039431250345225,0.028977240642646018,-0.013588523138325105,-0.02519462047923925,0.149001641794549,0.194441805795879,0.09543845115593509,0.09540598175846414,0.9695668373751942,1.0,0.9225086883175501,0.6853461433995477,-0.004896312272649878,-0.012598746707329784,0.012814744465221744,0.5144974948472668,-0.02017157521312864,
total_rec_prncp,-0.22396835652948496,-0.21809120480729,0.6777483740137172,0.6463024285217601,0.022895457146624502,-0.07063413216396786,0.7028459074303893,0.36386427728668636,-0.03846241448183672,-0.030290424721871666,-0.023035333612183018,0.11988547864427589,0.17149257491550407,-0.07822601991509238,-0.07828689763163546,0.9549922103307003,0.9225086883175501,1.0,0.49776049471204614,-0.017630747504023814,-0.153542172767263,-0.08230023017715575,0.5844346199522072,-0.02662065083827753,
